rank,sweep_stage,hostile_rank,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query,relevance_score,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
11,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,11,Fuzzy Disturbance Observers-Based Adaptive Fault-Tolerant Control for an Uncertain Constrained Automatic Flexible Robotic Manipulator,2023,IEEE Transactions on Fuzzy Systems,Yong Ren; Yaobin Sun; Lei Liu,https://doi.org/10.1109/tfuzz.2023.3319392,https://doi.org/10.1109/tfuzz.2023.3319392,https://openalex.org/W4387068312,30,robot manipulator actuator fault tolerant control,53.150,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This article investigates an adaptive fault-tolerant control problem of an automatic flexible robotic manipulator (AFRM) subject to system uncertainties, actuator faults and saturations, and disturbances. By integrating fuzzy logic systems, projection functions, and two novel fuzzy disturbance observers designed for the position and angular loop subsystems, a new adaptive fault-tolerant control scenario is adopted to ensure semiglobal uniform ultimate boundedness for the AFRM. With the introduced control scheme, the oscillation amplitude and an"
12,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,12,Fault-tolerant scheme for robotic manipulator—Nonlinear robust back-stepping control with friction compensation,2021,PLoS ONE,Khurram Ali; Adeel Mehmood; Jamshed Iqbal,https://doi.org/10.1371/journal.pone.0256491,https://doi.org/10.1371/journal.pone.0256491,https://openalex.org/W3193558091,30,robot manipulator actuator fault tolerant control,53.150,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"Emerging applications of autonomous robots requiring stability and reliability cannot afford component failure to achieve operational objectives. Hence, identification and countermeasure of a fault is of utmost importance in mechatronics community. This research proposes a Fault-tolerant control (FTC) for a robot manipulator, which is based on a hybrid control scheme that uses an observer as well as a hardware redundancy strategy to improve the performance and efficiency in the presence of actuator and sensor faults. Considering a five Degree o"
13,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,13,Robust Adaptive Fuzzy Fault Tolerant Control of Robot Manipulators With Unknown Parameters,2023,IEEE Transactions on Fuzzy Systems,Shoulin Xu; Bin He,https://doi.org/10.1109/tfuzz.2023.3244189,https://doi.org/10.1109/tfuzz.2023.3244189,https://openalex.org/W4321021022,68,robot manipulator actuator fault tolerant control,52.340,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This article resolves the safety tracking problem of the robot manipulator with the actuator faults, process faults, uncertain dynamics, and external disturbances. A novel robust adaptive fuzzy fault tolerant control (FTC) framework is presented. In this approach, a constraint mechanism of the zero overshoot error is proposed to keep the filter variable within an adjustable range, and the compact set can be available. An adaptive fuzzy logic system is, then, employed to approximate the time-varying, nonlinear, and unknown robot dynamics. Furthe"
14,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,14,Fixed-Time Fuzzy Resilient Consensus Tracking of Nonlinear MASs Under DoS Attacks and Actuator Faults,2024,IEEE Transactions on Automation Science and Engineering,Bo Xu; Yuan‐Xin Li; Zhongsheng Hou,https://doi.org/10.1109/tase.2024.3386603,https://doi.org/10.1109/tase.2024.3386603,https://openalex.org/W4394805013,26,robot manipulator actuator fault tolerant control,52.130,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This paper addresses the output feedback fixed-time consensus tracking problem for nonlinear multiagent systems (MASs) subject to aperiodic DoS attacks and actuator faults. Different from existing resilient control methods for MASs where the attackers only destroy the connectivity between agents, the sensor-to-controller communication channels of each agent are simultaneously blocked in this paper. To overcome these difficulties, we first propose a novel fixed-time stability criterion that incorporates the characteristics of DoS attacks. Then, "
15,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,15,First-Principles Models and Safety-Driven Planning for Soft and Rigid Robots,2025,Deep Blue (University of Michigan),Zachary Brei,https://doi.org/10.7302/25712,https://doi.org/10.7302/25712,https://openalex.org/W4414693705,0,nonprehensile manipulation pushing control,52.000,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"Humans naturally blend softness and rigidity in both their physical structure and control strategies, enabling them to physically interact with the world in ways that balance capability and safety. Replicating this balance in robotic systems is challenging, as most designs are predominantly soft or rigid, each with trade-offs. As robots integrate into human-centric environments, ensuring safe and effective physical interaction is paramount. In robotics, physical interaction encompasses functional tasks like manipulation and communicative roles "
16,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,16,Disturbance Observer-Based Fault-Tolerant Control for Robotic Systems With Guaranteed Prescribed Performance,2020,IEEE Transactions on Cybernetics,Haifeng Huang; Wei He; Jiashu Li; Bin Xu; Chenguang Yang; Weicun Zhang,https://doi.org/10.1109/tcyb.2019.2921254,https://doi.org/10.1109/tcyb.2019.2921254,https://openalex.org/W3022379167,128,robot manipulator actuator fault tolerant control,51.640,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"The actuator failure compensation control problem of robotic systems possessing dynamic uncertainties has been investigated in this paper. Control design against partial loss of effectiveness (PLOE) and total loss of effectiveness (TLOE) of the actuator are considered and described, respectively, and a disturbance observer (DO) using neural networks is constructed to attenuate the influence of the unknown disturbance. Regarding the prescribed error bounds as time-varying constraints, the control design method based on barrier Lyapunov function "
17,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,17,Fault-tolerant control strategies for industrial robots: state of the art and future perspective on AI-based fault management,2025,Artificial Intelligence Review,Zeashan Hameed Khan; Ali A. Nasir; Samir Mekid,https://doi.org/10.1007/s10462-025-11327-2,https://doi.org/10.1007/s10462-025-11327-2,https://openalex.org/W4413837513,7,robot manipulation actuator limits torque saturation,51.035,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"Fault-tolerant control schemes are essential for affirming the safe and dependable operation of industrial robots. In this detailed review, we discuss the current developments in fault-tolerant control strategies for industrial robots. The main focus is given to highlight some major contributions in fault-tolerant control systems used in robotic manipulators with single or multiple joints, incorporating any linear or non-linear robust approach for industrial robots, design, and implementation. The paper also discusses adaptive fault-tolerant co"
18,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,18,"Push, Press, Slide: Mode-Aware Planar Contact Manipulation via Reduced-Order Models",2026,ArXiv.org,"Melih Özcan; Orguner, Umut; Oguz, Ozgur S.",,https://openalex.org/W7138824651,https://openalex.org/W7138824651,0,nonprehensile manipulation pushing control,51.000,Plan and control object motion through intermittent or sticking contact.,"Quasi-static pushing models, motion cones, contact-mode planning, or learned push dynamics.",The robot can realize planned pusher motions equally well in each direction.,The robot-side actuator cone behind the contact-mode model.,A push mode may be geometrically valid but actuator-directionally brittle.,Novelty of contact-mode or pushing mechanics alone.,Jointly selecting contact/IK primitive and signed actuator cone feasibility.,"Non-prehensile planar manipulation, including pushing and press-and-slide, is critical for diverse robotic tasks, but notoriously challenging due to hybrid contact mechanics, under-actuation, and asymmetric friction limits that traditionally necessitate computationally expensive iterative control. In this paper, we propose a mode-aware framework for planar manipulation with one or two robotic arms based on contact topology selection and reduced-order kinematic modeling. Our core insight is that complex wrench-twist limit surface mechanics can b"
19,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,19,Indirect Adaptive Robust Control of Hydraulic Manipulators With Accurate Parameter Estimates,2010,IEEE Transactions on Control Systems Technology,Amit Mohanty; Bin Yao,https://doi.org/10.1109/tcst.2010.2048569,https://doi.org/10.1109/tcst.2010.2048569,https://openalex.org/W2104231393,248,robot manipulator adaptive control actuator uncertainty,50.240,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"In a general direct adaptive robust control (DARC) framework, the emphasis is always on the guaranteed transient performance and accurate trajectory tracking in presence of uncertain nonlinearities and parametric uncertainties. Such a direct algorithm suffers from lack of modularity, controller-estimator inseparability, and poor convergence of parameter estimates. In the DARC design the parameters are estimated by gradient law with the sole purpose of reducing tracking error, which is typical of a Lyapunov-type design. However, when the control"
20,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,20,Adaptive Fault Tolerant Non-Singular Sliding Mode Control for Robotic Manipulators Based on Fixed-Time Control Law,2022,Actuators,Saim Ahmed; Ahmad Taher Azar; Mohamed Tounsi,https://doi.org/10.3390/act11120353,https://doi.org/10.3390/act11120353,https://openalex.org/W4310376377,27,robot manipulator actuator fault tolerant control,50.135,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This paper presents a fault tolerant scheme employing adaptive non-singular fixed-time terminal sliding mode control (AFxNTSM) for the application of robotic manipulators under uncertainties, external disturbances, and actuator faults. To begin, non-singular fixed-time terminal sliding mode control (FxNTSM) is put forth. This control method uses non-singular terminal sliding mode control to quickly reach fixed-time convergence, accomplish satisfactory performance in tracking, and produce non-singular and non-chatter control inputs. Then, withou"
21,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,21,A Dynamic Programming Framework for Optimal Planning of Redundant Robots Along Prescribed Paths With Kineto-Dynamic Constraints,2023,IEEE Transactions on Automation Science and Engineering,Enrico Ferrentino; Heitor J. Savino; Antonio Franchi; Pasquale Chiacchio,https://doi.org/10.1109/tase.2023.3330371,https://doi.org/10.1109/tase.2023.3330371,https://openalex.org/W4388692086,19,robot manipulation actuator limits torque saturation,50.095,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Offline optimal planning of trajectories for redundant robots along prescribed task space paths is usually broken down into two consecutive processes: first, the task space path is inverted to obtain a joint space path, then, the latter is parametrized with a time law. If the two processes are separated, they cannot optimize the same objective function, ultimately providing sub-optimal results. In this paper, a unified approach is presented where dynamic programming is the underlying optimization technique. Its flexibility allows accommodating "
22,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,22,Coupling Magnetic Torque and Force for Colloidal Microbot Assembly and Manipulation,2023,Advanced Intelligent Systems,Coy J. Zimmermann; Andrew J. Petruska; Keith B. Neeves; David W. M. Marr,https://doi.org/10.1002/aisy.202300332,https://doi.org/10.1002/aisy.202300332,https://openalex.org/W4387397629,8,robot manipulation actuator limits torque saturation,50.040,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"For targeted transport in the body, biomedical microbots (μbots) must move effectively in three-dimensional (3D) microenvironments. Swimming μbots translate via asymmetric or screw-like motions while rolling ones use friction with available surfaces to generate propulsive forces. We have previously shown that planar rotating magnetic fields assemble μm-scale superparamagnetic beads into circular μbots that roll along surfaces. In this, gravity is required to pull μbots near the surface; however, this is not necessarily practical in complex geom"
